Emotion,Description,Dialogue
"angry, later remorseful","Gertrude calls Hamlet to her room to admonish him for his behavior, but is berated by Hamlet for marrying Claudius.","Gertrude has summoned Hamlet to her private chamber, intent on chastising him for his recent troubling conduct, only to be met with his furious reproach regarding her marriage to Claudius.
Gertrude (speaking)  
Hamlet, your insolence in court has become intolerable. What manner of madness drives you to speak so cruelly to your own mother?
Hamlet (speaking)  
Madness? I have found only rot in this house, mother! You sit beside my father’s murderer and call it peace.
Gertrude (speaking)  
Enough of this venom! Your tongue wounds deeper than any traitor's blade, and you shame the memory of your noble father.
Hamlet (speaking)  
It is you who shames him with your hasty bed and painted smiles! How could you let Claudius touch the throne—and you—so soon after my father’s corpse grew cold?
Gertrude (speaking)  
You know nothing of what I have endured—do not judge how hearts must survive in grief’s shadow!
Hamlet (speaking)  
Your grief sits easily indeed! You traded mourning veils for a wedding garland sooner than the tears dried on your cheek.
Gertrude (speaking)  
Stop! Your words cut me to the marrow; I cannot bear your hatred, Hamlet.
Hamlet (speaking)  
Then feel, mother, the wound you opened in me when you chose him over my father's spirit!
Gertrude (speaking)  
Oh Hamlet, I did not wish for this agony—if I have erred, believe that my heart now aches with bitter remorse."
"convinced of Hamlet's madness, frightened","Gertrude believes Hamlet is insane after he converses with the ghost, whom she cannot see.","Background: Gertrude believes Hamlet is insane after he converses with the ghost, whom she cannot see.
Gertrude (speaking)  
Hamlet, whom speak’st thou with? There is nothing here but shadow and dread—do you not see how you tremble?
Hamlet (speaking)  
Mother, look there! He beckons me still, his finger pointing to the closet’s gloom—do you not hear him?
Gertrude (speaking)  
You look on emptiness and cry out for mercy; your blood pounds, your eyes are wild. My son, are you bewitched?
Hamlet (speaking)  
On my life, madam, it is no madness! The air teems with his voice; he warns me even now!
Gertrude (speaking)  
You shriek and clutch at nothing, and yet your words are poison in my breast. Will you not tell me what spectral terror haunts you?
Hamlet (speaking)  
'Tis but my father’s spirit, commanding what I must; why do you not see? Are you blind to this torment?
Gertrude (speaking)  
Stop—stop this! You freeze my heart, Hamlet. There is nothing—nothing but your fever and fright!"
sorrowful,Gertrude reports that Ophelia has drowned while playing by the river.,"The background: Gertrude reports that Ophelia has drowned while playing by the river.
Gertrude (speaking)  
There is a willow grows aslant a brook, that shows its hoar leaves in the glassy stream. Ophelia climbed upon its boughs, weaving garlands, and the branch broke beneath her.
Laertes (speaking)  
What do you say? My sister—Ophelia—does she yet live? Tell me, madam!
Gertrude (speaking)  
She fell into the weeping brook, her clothes spread wide and bore her up for a time, like a mermaid singing old snatches of songs.
Queen (speaking)  
Surely, someone went to save her, madam—did no one reach her in time?
Gertrude (speaking)  
Poor wretch, as if unmindful of her own distress, she continued to sing—till her garments, heavy with water, pulled her from her lays to a muddy death.
Laertes (speaking)  
Oh God, she is gone! All my joys and hopes lie drowned with her!
Gertrude (speaking)  
Alas, Ophelia is dead; she is drowned, drowned."
"flustered, defensive",Is unsettled by Hamlet's accusations during the play.,"Background: Gertrude is unsettled by Hamlet's accusations during the play.
Gertrude (speaking) What is this play, Hamlet? The players’ words are so pointed—you look at me as if I should answer each line!
Hamlet (speaking) Madam, the lady doth protest too much, methinks. You fret when truth comes nearer than comfort will allow.
Gertrude (speaking) I do not understand these hints and barbs. Why must you wound me before this audience, your own mother?
Hamlet (speaking) I speak for the dead and for justice. Do you not feel the pricking of your conscience tonight?
Gertrude (speaking) Enough! This is cruel sport—if you have accusation, say it plain, or spare me these riddles.
Hamlet (speaking) Mother, do your eyes not see what mine see? The shadow of your marriage grows long and dark.
Gertrude (speaking) You speak of shadows, but cast only gloom on me. What is it you truly want, my son?
Hamlet (speaking) Truth, mother, and repentance. Will you not look inside and name what lurks there?
Gertrude (speaking) You demand too much—with such wild agony—yet I can give you only the heart I possess, torn as it is."
"angered, frustrated",Calls Hamlet to her room to berate him for his insinuations after the play.,"After the performance, Gertrude summons Hamlet to her room to confront him about the accusations he made through the play.
Gertrude (speaking)  
How dare you, Hamlet? With your twisted theatre and your wild insinuations, you mock your own mother before the court!
Hamlet (speaking)  
You saw the play, Mother. Do you feel nothing when you look at the mirror of your own acts?
Gertrude (speaking)  
This? You call this justice? You humiliate me and believe yourself righteous?
Hamlet (speaking)  
I only reflect what festers: the poison in your marriage, the questions no one dares ask.
Gertrude (speaking)  
I am your mother! You forget that in your obsession and spite.
Hamlet (speaking)  
I forget nothing—least of all the foul stench that taints this room since my father’s death.
Gertrude (speaking)  
You go too far—enough! I will not be judged by my own son within my own chamber."
"fearful, convinced",Believes Hamlet is mad as she sees him talking with nothing but air.,"In her chamber, Gertrude watches in mounting horror as Hamlet paces and mutters, appearing to converse with nothing but empty air.
Gertrude (speaking)  
Hamlet, whom do you address with such wild and vacant eyes? There is no soul here but me—do you not see?
Hamlet (speaking)  
Mother, do you not hear him? The spirit beckons—his voice chills the very marrow in my bones!
Gertrude (speaking)  
Heaven preserve us, your words twist the shadows and frighten my heart. You stare through me, as if I were made of mist!
Hamlet (speaking)  
You see nothing, yet all the world’s sorrow stirs in this room. Trust me, there is purpose in what you cannot perceive.
Gertrude (speaking)  
Your mind is unraveled, my son; I beg you, speak plain! What frightens you so, if truly you are not alone?
Hamlet (speaking)  
I see what you refuse—a truth that will not rest. Leave me to this communion, forsake your doubts!
Gertrude (speaking)  
No—enough! You're lost to yourself, spinning terror from the emptiness. Oh, Hamlet, what madness has claimed you?"
"sorrowful, shocked",Announces that Ophelia has drowned while playing in a willow tree by the river.,"Background: Ophelia has drowned while playing in a willow tree by the river.
Gertrude (speaking)  
There is a willow grows aslant a brook, and beneath its drooping branches, Ophelia wove garlands of wildflowers. Her delicate feet slipped—she fell into the glassy stream, her clothes spreading wide around her like a mermaid’s web.
Laertes (speaking)  
Speak, madam! What do you mean? Has some harm come to my sister?
Gertrude (speaking)  
The stream bore her along, her songs trailing behind her, as if she were oblivious to her own danger. She did not fight the water, but let herself be carried away, singing all the while, until her garments, heavy with drink, pulled her under.
Laertes (speaking)  
Oh gods, no! Is she gone? Has death taken her, leaving only silence?
Queen (speaking)  
I tried to reach her but could do nothing—her voice faded, her body sinking gently. We shall never hear her laughter again.
Gertrude (speaking)  
I have told you the truth—Ophelia is drowned."
"proud, celebratory","Gertrude drinks a toast to Hamlet from the poisoned cup, unaware of its contents.","Background: Gertrude drinks a toast to Hamlet from the poisoned cup, unaware of its contents.
Gertrude (speaking) Let us raise our cups to Hamlet, prince of Denmark, whose strength and spirit inspire us all! Tonight, may victory and honor be yours, my son.
Claudius (speaking) Sweet queen, your kindness shines brighter than these gilded goblets. To Hamlet indeed—may his fortunes rise!
Hamlet (speaking) Madam, I thank you from the depth of my heart. Your faith in me gives courage in this trial.
Laertes (speaking) The queen’s toast is fair and noble, as all here acknowledge.
Gertrude (speaking) Then let us drink together, for this is a night to be proud, a night that marks greatness. Hamlet, to your glory—I drink this for you!"
"stricken, horrified",Gertrude collapses and declares she has been poisoned.,"Background: Gertrude collapses and declares she has been poisoned.
Gertrude (speaking)  
The drink! Oh God, the drink was foul—there’s venom burning inside me! My limbs—my limbs betray me, I am undone!
Claudius (speaking)  
Gertrude, what madness is this? Speak, woman—what ails you?
Horatio (speaking)  
Lady, breathe! Was it the wine? Tell us who has harmed you!
Gertrude (speaking)  
A blackness runs through my veins—a serpent’s kiss in the cup! O, this is no ordinary pain, I am poisoned, I am sure!
Hamlet (speaking)  
Mother! Who did this—speak, can you blame a hand?
Gertrude (speaking)  
Hamlet—if you ever loved me—beware the drink, the drink is death!"
"supportive, loving","Believing Hamlet is winning, Gertrude toasts to Hamlet with the poisoned cup and dies from the poison.","As Hamlet appears to be triumphing in the duel, Gertrude, overcome with maternal pride and joy, raises a cup to toast her son's apparent victory—unaware that the cup is laced with deadly poison.
Gertrude (speaking)  
Hamlet, my dear boy, you fight with such courage and grace! This toast I raise is to your honor and your bright future.
Hamlet (speaking)  
Mother, I thank you for your faith in me. Your words give me strength.
Claudius (speaking)  
Gertrude, do not drink—wait for Hamlet to finish the match!
Gertrude (speaking)  
Why, my lord? The moment calls for celebration. What danger could lie in a mother's love?
Laertes (speaking)  
Your Highness, it is not wise, please—delay your toast but a moment.
Gertrude (speaking)  
No, Laertes, let joy not be smothered by caution. To Hamlet, my heart!  
(She drinks.)
Gertrude (speaking)  
I feel a sudden coldness spreading within me, as if night itself were creeping through my veins—what is this?  
Hamlet (speaking)  
Mother, are you unwell? Your face grows pale—speak to me!
Gertrude (speaking)  
The cup, Hamlet—the cup! Oh, my sweet son, it was the drink... I did it for you."
"unaware, loving",Gertrude drinks a toast to Hamlet from the poisoned cup meant for him.,"As the royal court gathers in Elsinore, Gertrude lifts a goblet, unaware that it holds the poison intended for Hamlet.
Gertrude (speaking) My son, this drink I offer in your honor; may fortune be ever at your side, Hamlet.
Hamlet (speaking) Good mother, spare the toast, the match is not yet done—pray, wait to celebrate.
Claudius (speaking) Sweet Gertrude, do not, do not drink!
Gertrude (speaking) Why, my dear Claudius? I shall drink for Hamlet’s bravery—here’s to his health and victory!"
agonized,Gertrude collapses and declares she has been poisoned.,"All around, the court is in tumult as Gertrude staggers, falters, and collapses, clutching her side, feverish and terrified, forcing out words to the horrified onlookers.
Gertrude (speaking)  
O my God—the drink, the drink! I am poisoned! My veins burn—fire tears me apart!
Claudius (speaking)  
Gertrude, what do you mean? Speak, woman—who has done this to you?
Hamlet (speaking)  
Mother! Dearest mother, what’s happened? Why are you trembling so?
Gertrude (speaking)  
Do not touch me, Hamlet—my hands are ice, but my belly is aflame. Oh, I taste blood, I taste death!
Claudius (speaking)  
It cannot be—she errs; physicians, come! She’s faint with terror, not with poison.
Hamlet (speaking)  
Mother, look on me! Who gave you this cup? Mother, what have they done?
Gertrude (speaking)  
It was the wine, Hamlet—your father’s goblet! Oh, I see it now, the trap was set, and I am the prey!"
"loving, oblivious","Gertrude drinks from the poisoned cup to toast Hamlet, believing he is winning the match.","Background: Gertrude drinks from the poisoned cup to toast Hamlet, believing he is winning the match.
Gertrude (speaking)  
Sweet lords, the contest runs so high, my heart swells with pride for Hamlet. Let me raise this cup—my soul is full of joy.
Claudius (speaking)  
Gertrude, do not drink—this wine is set aside for Hamlet, dear heart!
Gertrude (speaking)  
Nonsense, my gracious king, what joy is victory without a mother’s blessing? I drink to Hamlet, his courage, and this triumph before us.
Hamlet (speaking)  
Mother, your words are strong, and your love ever shields me. Your faith leads me through these trials.
Laertes (speaking)  
The match is fierce, and Hamlet shines, madam. Your cheer gives him strength, truly.
Gertrude (speaking)  
Then may fortune continue to smile upon him, for nothing could make me prouder than Hamlet’s honor and valiance this day."
"dying, shocked",Gertrude dies after drinking the poisoned cup.,"The background: Gertrude dies after drinking the poisoned cup.
Gertrude (speaking)  
What is this feeling—my veins burn like fire, and darkness rushes in around me!  
Hamlet (speaking)  
Mother, what ails you? You look as if the world’s edge has opened at your feet!  
Gertrude (speaking)  
The wine—the wine, Hamlet! Do not drink, I pray you; there's death in that golden goblet!  
Claudius (speaking)  
Nonsense, my queen, perhaps the revels have overcome you. Sit and recover yourself.  
Gertrude (speaking)  
No, no, my sight falters, and the hall whirls—my limbs are lead, my heart aches with terror!  
Hamlet (speaking)  
Tell me, mother, what have you felt? Who has done this awful deed?  
Gertrude (speaking)  
Forgive me, my son, I did not see the trap laid...watch him, Hamlet, there is wickedness here.  
Claudius (speaking)  
You imagine shadows, madam—the cup was offered in all innocence.  
Gertrude (speaking)  
Liar! I feel the poison’s grip—death is crawling, cold, across my soul.  
Hamlet (speaking)  
Hold on, mother, stay with me! Speak if you can—who has wronged you?  
Gertrude (speaking)  
The king, Hamlet—the king...believe nothing but your own heart, avenge me!"
affectionate,"Gertrude drinks a toast to her son Hamlet from the poisoned cup, unaware it is poisoned.","The court gathers for a celebratory toast as Gertrude, unaware, raises the poisoned cup to her lips in honor of her beloved son Hamlet.
Gertrude (speaking)  
Sweet Hamlet, the light of my heart, let me drink to your fortune and victory.
Claudius (speaking)  
Gertrude, wait—do not drink!
Hamlet (speaking)  
Mother, please, set down the cup!
Gertrude (speaking)  
My lord, my son, this is but a harmless gesture. Your happiness is all I wish.
Claudius (speaking)  
It is not wise to drink so fast, my queen.
Laertes (speaking)  
The queen carouses to your health, Hamlet.
Hamlet (speaking)  
Mother, is something amiss? You look pale.
Gertrude (speaking)  
No worry, dear one. My heart is warm, sailing on your love—it is only a passing wave."
distressed,Gertrude collapses and declares she has been poisoned.,"In the grand hall, as the court watches in horror, Gertrude collapses and declares she has been poisoned.
Gertrude (speaking)  
Oh, my heart—something’s tearing me inside, I’ve been poisoned! Please—help me, someone, please!
Claudius (speaking)  
Gertrude, what do you mean? Poisoned? Who did this?
Hamlet (speaking)  
Mother, gods, what’s happened? What ails you?
Gertrude (speaking)  
The drink—I drank from the cup—my veins burn with fire. Oh, Hamlet, beware the cup!
Claudius (speaking)  
No, this cannot be! Guards, seize the wine!
Horatio (speaking)  
Let her lie down, my lord. Someone fetch a physician!
Gertrude (speaking)  
My sight darkens—I am undone. I did not know, I swear it."
misguided,"Believing Hamlet is winning, Gertrude drinks the poisoned cup meant for Hamlet and dies.","The court watches as Gertrude, convinced that Hamlet is triumphing over Laertes, lifts the cup prepared for her son, unaware of its deadly contents.
Gertrude (speaking)  
Hamlet, the sun itself shines less than you in this moment! O my son, see, I toast to your fortune—it is surely won!  
Hamlet (speaking)  
Mother, do not drink! Do not—something is amiss with that cup!
Claudius (speaking)  
Gertrude, refrain; let it pass, let it stand untouched, I beg you.
Gertrude (speaking)  
What, my lord? Is there danger in a mother's cheer for her victorious child? I see nothing but joy!
Laertes (speaking)  
Madam, the cup—please, set it down! Your health is dearer than any prize.
Gertrude (speaking)  
Why, your faces twist with fear and dread—yet he fights bravely, and I would not mar his moment with a mother's doubt!
Claudius (speaking)  
Gertrude, for love—do not taste!
Gertrude (speaking)  
Too late, the draught is mine; the hope, too—my heart sings for Hamlet’s glory, and nothing, nothing shall spoil it!"
angry,Gertrude summons Hamlet to her quarters to reprimand him for his behavior at the play.,"Gertrude summons Hamlet to her quarters to reprimand him for his behavior at the play.
Gertrude (speaking)   
What in God’s name possessed you to shame your king before the entire court tonight? Are you so lost to all decency that you’d air your madness for every prying eye to see?
Hamlet (speaking)  
My madness is a pale shadow beside the corruption festering on this throne, mother. Would you have me sit silent and blind while wickedness parades in masque and crown?
Gertrude (speaking)  
How dare you speak such poison—to your own mother! Do you care so little for your family’s name and honor, or is it vengeance you crave above respect?
Hamlet (speaking)  
Respect is hollow when steeped in lies, mother. How can I honor a marriage built on my father’s grave?
Gertrude (speaking)  
You go too far! Do not pretend to know my grief or what it costs me to wake each day. Your words wound deeper than daggers, Hamlet, and I will not have my son overturn this house with his bitterness."
fearful and convinced,Gertrude cannot see the ghost and believes that Hamlet is truly mad.,"Background: Gertrude is in Hamlet’s chamber, wracked with fear as she cannot see the ghost Hamlet claims is present and believes her son has lost his sanity.
Gertrude (speaking)  
Hamlet, whom do you address? There is no one here but you and I—why do you stare so wildly?
Hamlet (speaking)  
Mother, do you not see him, even now? Look, where he steals away!
Gertrude (speaking)  
You speak in riddles and glance to empty air. My son, your eyes speak terror—what has possessed you?
Hamlet (speaking)  
On my life, it is the ghost of your late husband, my father, returned to urge me on!
Gertrude (speaking)  
Cease this madness! You frighten me to my soul—I see nothing, nothing at all!
Hamlet (speaking)  
He is here, even if your eyes refuse him, his presence is heavy and real!
Gertrude (speaking)  
There is nothing! Hamlet, I beg you, come to your senses before you split my heart in two!"
angry,Gertrude summons Hamlet to confront him about his inappropriate behavior at the play.,"Background: Gertrude summons Hamlet to confront him about his inappropriate behavior at the play.
Gertrude (speaking)  
Hamlet, how dare you disgrace your father’s memory and insult your king before the whole court? Have you utterly lost your wits, or do you simply long to shame me further before all of Denmark?
Hamlet (speaking)  
My intent was never to shame you, mother, but to cast light on lies that fester and rot beneath the crown. Will you not see the corruption that sits beside you on the throne?
Gertrude (speaking)  
Enough of this endless venom! It is neither your place nor your right to hurl accusations at Claudius with no proof, least of all in public!
Hamlet (speaking)  
Proof? What proof would you accept when your eyes are blinded by your hasty marriage bed? My words only reflect the truth you refuse to acknowledge.
Gertrude (speaking)  
Do not speak to me of truth when your actions wound not only me but the reputation of this house! You act like a petulant child, lashing out in rage, not reason!
Hamlet (speaking)  
Mother, you tread dangerous ground if you defend what is rotten. Have you so quickly forgotten my father's ghost that your conscience no longer stirs?
Gertrude (speaking)  
How dare you speak to me of conscience? My heart is torn enough without your bitter tongue flaying it open again!"
"frightened, confused","Gertrude, unable to see the ghost as Hamlet does, believes her son has truly gone mad as he speaks to empty space.","In her private chamber, Gertrude stands frozen in terror as Hamlet raves at the empty air, insisting he sees a ghost she cannot perceive.
Gertrude (speaking)  
Hamlet, to whom do you cry? Why do you stare so wildly at the darkness—there is nothing there!
Hamlet (speaking)  
Mother, do you not see him? My father's spirit, pale and grave—he beckons me still.
Gertrude (speaking)  
There is no one, Hamlet! My blood runs cold—stop, you frighten me!
Hamlet (speaking)  
He speaks to me, Mother, urges me to remember. I am not mad, I swear it!
Gertrude (speaking)  
You speak to empty air, your eyes burn with fever. Oh my son, what has possessed you?
Hamlet (speaking)  
I beg you, believe me! The vision is as real as you before me. Have you no sense of his presence?
Gertrude (speaking)  
No—no, I see nothing and hear nothing, only your desperate voice. What am I to believe, Hamlet?"
angry,Gertrude is angered by Hamlet's behavior during the play and summons him to her chambers for a confrontation.,"Background: Gertrude is angered by Hamlet's behavior during the play and summons him to her chambers for a confrontation.
Gertrude (speaking) Shut the door behind you, Hamlet. Dare you show your face after that spectacle before the whole court?
Hamlet (speaking) You summoned me, madam. Is it a crime to hold a mirror to corruption and falsehood?
Gertrude (speaking) Insolence! You dishonored your mother before her king and all her guests—speak plainly, what is it you aim to ruin tonight?
Hamlet (speaking) I aimed at nothing but the truth, which writhes and sickens in these very walls.
Gertrude (speaking) Do not trifle with words, boy! Your wild actions threaten more than your own wretched self—what demon drives you to torment me so?
Hamlet (speaking) It is not madness nor a demon, but a bleeding heart beset by lies and shadow. Why have you married my father's murderer?
Gertrude (speaking) Enough! Your tongue is poison—will you pierce your mother's heart because you are too weak to face your own pain?
Hamlet (speaking) My pain lives in every corner of this cursed chamber, and my mother stands at its center.
Gertrude (speaking) You think yourself brave, scolding your queen—but you are blind, Hamlet, and your spite will lead us all to ruin!"
distressed and fearful,Gertrude claims she cannot see the ghost and cries out that Hamlet is truly mad.,"The queen stands in her chamber, wringing her hands as Hamlet insists the ghost of his father is present before them, yet she sees nothing and recoils in terror at her son's words.
Gertrude (speaking)  
Hamlet, what are you talking to—there’s nothing here but shadows! Why do you shudder so and stare so wildly?
Hamlet (speaking)  
Mother, do you not see him? He stands there, his face pale—look, Mother, look!
Gertrude (speaking)  
There is nothing, Hamlet! I see no one, you frighten me—what is it haunts you?
Hamlet (speaking)  
Do you truly not see? Are my eyes alone cursed to witness what yours cannot?
Gertrude (speaking)  
Oh God, you’re not yourself! The air is empty, you speak to things that are not, my son—are you lost to madness?"
