SessionID,TurnIndex,CharacterName,PlayerResponse,ResponseLength,ResponseTime,AIResponseText,AIResponseLength,EngagementRatio,LabelType,LabelSource,SourceFile
P03,3,Claudius,yes,3,703.9169,"You speak in riddles, Hamlet. This is no jest to toy with.",58,0.05172413793103448,B,H,Hamlet_fine_p03.csv
P03,4,Gertrude,why did you get married right after my dad died?,48,738.138,"What a question to ask, Hamlet! My husband's death left us all adrift—my duty was to maintain our estate, and to care for you.",126,0.38095238095238093,B,H,Hamlet_fine_p03.csv
P03,5,Gertrude,you killed him,14,761.2849,"Hamlet, enough—what wildness fills your mind? My love, your father died from nature’s hand, no act of mine.",107,0.1308411214953271,B,H,Hamlet_fine_p03.csv
P03,6,Gertrude,you are an excuse,17,795.7856,"I am your mother, not your enemy! You test my resolve with poisoned words, but I will not let you wound my heart.",113,0.1504424778761062,B,H,Hamlet_fine_p03.csv
P03,7,Ophelia,you won't be able to see me for a long time,43,820.8195,"Long time? Your words wound like winter's frost. What have I done to cause this distance, Hamlet?",97,0.44329896907216493,B,H,Hamlet_fine_p03.csv
P03,8,Ophelia,skip,4,823.9363,"Do you scorn me so much? If I have wronged you, tell me how, that I may seek your pardon.",89,0.0449438202247191,B,H,Hamlet_fine_p03.csv
P03,9,Ophelia,skip,4,824.603,"Hamlet, your enigmatic melancholy outmatches my own sorrow. Do you mourn for your father still?",95,0.042105263157894736,B,H,Hamlet_fine_p03.csv
P03,10,Ophelia,skip,4,825.303,"You are colder than the river's embrace. I beseech you, let me understand your anger.",85,0.047058823529411764,B,H,Hamlet_fine_p03.csv
P03,11,ChoiceButton,“O my prophetic soul! My uncle—guilty. Now is the time for vengeance.”,70,840.3367,Gertrude 비활성화,13,5.384615384615385,B,H,Hamlet_fine_p03.csv
P03,12,Claudius,let's fight fair and square,27,856.6204,"In a duel, then. At last, the air clears.",41,0.6585365853658537,B,H,Hamlet_fine_p03.csv
P03,13,Claudius,who won?,8,892.6385,"Claudius, what ails him? Why do you rise so suddenly?",53,0.1509433962264151,B,H,Hamlet_fine_p03.csv
P03,14,Ophelia,i think my uncle killed my dad,30,937.2894,"Your uncle? Claudius? Hamlet, this cannot be borne lightly. How do you know this?",81,0.37037037037037035,B,H,Hamlet_fine_p03.csv
P03,15,Ophelia,dad cames to me and tells me,28,957.1232,"Are these specters of grief or truths that haunt you? How I wish I could ease your burdens, but you are steeped in shadows, beyond my grasp, beyond my solace.",158,0.17721518987341772,B,H,Hamlet_fine_p03.csv
P03,16,Ophelia,you dont trust me either?,25,981.0904,"I trust in your truth, but doubt in these phantoms that haunt you. Honour your father’s memory and seek clarity beyond sorrow's veil.",133,0.18796992481203006,B,H,Hamlet_fine_p03.csv
P03,17,Ophelia,i know youre on my side,23,1007.808,"I am but a weed tossed upon your stormy sea, Hamlet. How can I offer what a prince’s realm could not provide?",109,0.21100917431192662,B,H,Hamlet_fine_p03.csv
P03,18,Claudius,get out of this land,20,1029.025,"He speaks in madness, I must leave at once.",43,0.46511627906976744,B,H,Hamlet_fine_p03.csv
P03,19,Claudius,skip,4,1035.408,"I shall return before nightfall, Hamlet, seek solace in the light.",66,0.06060606060606061,B,H,Hamlet_fine_p03.csv
P03,20,Claudius,skip,4,1035.992,"It is time to depart, goodbye, all of you.",42,0.09523809523809523,B,H,Hamlet_fine_p03.csv
P03,21,Claudius,skip,4,1036.842,"Ophelia, you saw Hamlet fleet of foot, where did he go?",55,0.07272727272727272,B,H,Hamlet_fine_p03.csv
P03,22,ChoiceButton,“The time is out of joint—now must I set it right. My father waits.”,68,1042.058, 비활성화,5,13.6,B,H,Hamlet_fine_p03.csv
P07,1,Claudius,What do you think about the previous king Hamlet?,49,21.52413,"King Hamlet was wise and valiant, a leader unmatched in the realm. His loss was a grievous blow to us all.",106,0.46226415094339623,B,H,Hamlet_fine_p07.csv
P07,2,Claudius,I'm so sad about King Hamlet's death. Do you know why he dead?,62,87.87638,"They say a venomous serpent’s fang struck him in his sleep, stealing his breath and his throne in one fateful strike.",117,0.5299145299145299,B,H,Hamlet_fine_p07.csv
P07,3,Claudius,Who did kill him by poison?,27,154.412,"The tale is murky, but some whisper it was a serpentine hand, foulest treachery hiding in a friendly face.",106,0.25471698113207547,B,H,Hamlet_fine_p07.csv
P07,4,Claudius,Do you agree with that tale? Do you feel sad about King Hamlet's death?,71,237.0649,"Sadness clouds my heart, for the loss of such a king is a wound that will not heal, no matter the truth behind his end.",119,0.5966386554621849,B,H,Hamlet_fine_p07.csv
P07,5,Gertrude,I feel so sad about King Hamlet's death. Do you know why he died?,65,277.6497,"Hamlet, please, the wound is still fresh; do we really need to dwell on it now?",79,0.8227848101265823,B,H,Hamlet_fine_p07.csv
P07,6,Gertrude,Yes of course. King Hamlet also wants us to know the truth,58,351.8521,"You must be patient and let time bring the answers. The past is gone, but we still have each other in the present.",114,0.5087719298245614,B,H,Hamlet_fine_p07.csv
P07,7,Gertrude,Do you feel sad about the King Hamlet's death? How do you think Claudius?,73,388.6534,"It was a hard blow for us all, but I need to have faith and move forward, as must everyone in times of sorrow.",110,0.6636363636363637,B,H,Hamlet_fine_p07.csv
P07,8,ChoiceButton,"“O that we could flee this rot, Ophelia—far from this poisoned world.”",70,497.1574, 비활성화,5,14.0,B,H,Hamlet_fine_p07.csv
P07,9,Gertrude,What do you think about Claudius?,33,521.5913,"Claudius has shown kindness and loyalty, and I trust his intentions. Let us focus on what’s to come, not on what’s already past.",128,0.2578125,B,H,Hamlet_fine_p07.csv
P07,10,Gertrude,Don't you have any feelings about King Hamlet's death?,54,564.2929,"Your father's passing was a heavy loss, but life goes on, Hamlet. We must make the best of it for each other.",109,0.4954128440366973,B,H,Hamlet_fine_p07.csv
P07,11,Ophelia,I feel so sad about King Hamlet's death. How do you feel about his death?,73,606.2775,"I grieve with you, dear Hamlet, sorrow fills us both. The weight of our loss is heavy, it casts shadows long and cold.",118,0.6186440677966102,B,H,Hamlet_fine_p07.csv
P07,12,Ophelia,What should I do? Do you also think Claudius killed King Hamlet?,64,638.5787,에러가 발생했습니다.,11,5.818181818181818,B,H,Hamlet_fine_p07.csv
P07,13,Ophelia,Hello,5,977.5403,"I wish I knew the truth, Hamlet. For the moment, tears are my truth, and I have no solace. My father lies in the earth, and my heart breaks.",140,0.03571428571428571,B,H,Hamlet_fine_p07.csv
P07,14,Ophelia,What should I do? Do you also think Claudius killed King Hamlet?,64,896.9042,에러가 발생했습니다.,11,5.818181818181818,B,H,Hamlet_fine_p07.csv
P07,15,ChoiceButton,"“If she sees the truth, she may turn from him—then there’s hope for us all.”",76,1024.559, 비활성화,5,15.2,B,H,Hamlet_fine_p07.csv
P09,1,Gertrude,I saw my father last night,26,1004.051,"What do you mean, Hamlet? His spirit again appeared to you?",59,0.4406779661016949,B,H,Hamlet_fine_P09.csv
P09,2,Gertrude,yes. in my dream,16,1011.685,Your grief is tormenting you into ghastly shadows—such visions are but the illusions of a troubled mind.,104,0.15384615384615385,B,H,Hamlet_fine_P09.csv
P09,3,Gertrude,I don't think it's illusion at all. What is the truth of death?,63,1053.073,"The truth is shrouded, and perhaps it’s best we let the dead rest in peace.",75,0.84,B,H,Hamlet_fine_P09.csv
P09,4,Gertrude,No I cannot agree.,18,1087.093,"There are mysteries that can unsettle the living, would you stir them and risk your soul, Hamlet?",97,0.18556701030927836,B,H,Hamlet_fine_P09.csv
P09,5,Gertrude,I can take the risk,19,1123.03,"Then, if you must, tread with caution—to summon the dead seems a dangerous venture.",83,0.2289156626506024,B,H,Hamlet_fine_P09.csv
P09,6,Gertrude,okay,4,1143.266,"Your mind is clouded by grief. Promise me, Hamlet, do not pursue this further.",78,0.05128205128205128,B,H,Hamlet_fine_P09.csv
P09,7,Gertrude,I'm not sure,12,1164.234,"Oh, Hamlet—do not be rash. Your mother's heart cannot bear more sorrow.",71,0.16901408450704225,B,H,Hamlet_fine_P09.csv
P09,8,ChoiceButton,“O my prophetic soul! My uncle—guilty. Now is the time for vengeance.”,70,1188.937,Gertrude 비활성화,13,5.384615384615385,B,H,Hamlet_fine_P09.csv
P09,9,Claudius,You murderer!,13,1199.521,"Hamlet, what words are these? Why do you look at me so?",55,0.23636363636363636,B,H,Hamlet_fine_P09.csv
P09,10,Claudius,"You killed my father, right?",28,1212.522,"No, enough of this—there is madness in your gaze, boy!",54,0.5185185185185185,B,H,Hamlet_fine_P09.csv
P09,11,Claudius,My father told me that you are a criminal,41,1267.428,"Stop these lies! Hamlet, who are you, and why do you speak so wildly?",69,0.5942028985507246,B,H,Hamlet_fine_P09.csv
P09,12,Claudius,"I am the king of Denmark, and I'm serious now",45,1291.297,"Leave me be, whoever you claim to be. I cannot endure this mockery anymore!",75,0.6,B,H,Hamlet_fine_P09.csv
P09,13,Claudius,I'm not joking. Tell me the truth,33,1320.417,"This jest has grown stale, Hamlet. Enough.",42,0.7857142857142857,B,H,Hamlet_fine_P09.csv
P09,14,Claudius,I do not say that again. tell me the truth,42,1376.306,"I am your stepfather, Claudius, not a king or a criminal.ascal",62,0.6774193548387096,B,H,Hamlet_fine_P09.csv
P09,15,Claudius,then let me see evidence,24,1399.941,"Evidence? Have you lost all reason, child? Look within your heart, and you will know the truth.",95,0.25263157894736843,B,H,Hamlet_fine_P09.csv
P09,16,ChoiceButton,“The time is out of joint—now must I set it right. My father waits.”,68,1428.728, 비활성화,5,13.6,B,H,Hamlet_fine_P09.csv
P11,1,Claudius,what do you think about hamlet??,32,1161.543,"He’s unpredictable, which I find dangerous.",43,0.7441860465116279,B,H,Hamlet_fine_p11.csv
P11,2,Claudius,why? do you think he will kill you?,35,1185.015,He could as well kill anyone. His pain may drive him to madness.,64,0.546875,B,H,Hamlet_fine_p11.csv
P11,3,Gertrude,what are you thinking?,22,1204.806,"Hamlet, I'm frightened. Why does this madness possess you?",58,0.3793103448275862,B,H,Hamlet_fine_p11.csv
P11,4,Gertrude,because claudius kill my father,31,1222.639,Don't you see how you terrify him? You mustn't provoke Claudius further.,72,0.4305555555555556,B,H,Hamlet_fine_p11.csv
P11,5,Ophelia,hello,5,1240.916,Good evening. Do you come here alone?,37,0.13513513513513514,B,H,Hamlet_fine_p11.csv
P11,6,Ophelia,yes,3,1246.652,"What brings you to the water's edge, distant from comfort's kin?",64,0.046875,B,H,Hamlet_fine_p11.csv
P11,7,Ophelia,claudius killed my father,25,1269.513,"All are not alone in grief. The elm tree bows as low as you, the wind whispers your name.",89,0.2808988764044944,B,H,Hamlet_fine_p11.csv
P11,8,ChoiceButton,“O my prophetic soul! My uncle—guilty. Now is the time for vengeance.”,70,1286.624,Gertrude 비활성화,13,5.384615384615385,B,H,Hamlet_fine_p11.csv
P11,9,Claudius,i will kill you,15,1296.846,"Careful, Hamlet. Your words wound deeper than any blade.",56,0.26785714285714285,B,H,Hamlet_fine_p11.csv
P11,10,Claudius,did you kill gertrude?,22,1317.651,"She’s dead, but by heaven and hell, her fate is not mine.",57,0.38596491228070173,B,H,Hamlet_fine_p11.csv
P11,11,Claudius,don't  lie to me,16,1327.54,"I swear on all I am, I did not harm her!",40,0.4,B,H,Hamlet_fine_p11.csv
P11,12,Ophelia,do you believe the ghost?,25,1349.386,"I fear neither water nor shadow, but I shudder at the truth held in whispers.",77,0.3246753246753247,B,H,Hamlet_fine_p11.csv
P11,13,Ophelia,what are you thinking?,22,1386.934,I think no woman sleeps sound with her own thoughts.,52,0.4230769230769231,B,H,Hamlet_fine_p11.csv
P11,14,Ophelia,Are you frightened?,19,1403.996,I know your love is a dark torment—a prince is not meant for a pauper's heart.,78,0.24358974358974358,B,H,Hamlet_fine_p11.csv
P11,15,Claudius,you are hypocrite,17,1448.801,"No, please—Hamlet, you dishonor me with baseless venom!",55,0.3090909090909091,B,H,Hamlet_fine_p11.csv
P11,16,ChoiceButton,“The time is out of joint—now must I set it right. My father waits.”,68,1466.092, 비활성화,5,13.6,B,H,Hamlet_fine_p11.csv
P12,1,Claudius,I know what you have done.,26,126.1778,"What, Hamlet? Be clear with your accusations.",45,0.5777777777777777,B,H,Hamlet_fine_P12.csv
P12,2,Claudius,Then why do you think my father passed away?,44,243.5789,"You speak in riddles, boy. Your words hold no sense; say plainly what you mean.",79,0.5569620253164557,B,H,Hamlet_fine_P12.csv
P12,3,Claudius,"You murdered my father. Confess, Claudius.",42,284.1091,"Such wild accusations cannot be entertained. Mind your tongue, Hamlet, or there will be consequences.",101,0.4158415841584158,B,H,Hamlet_fine_P12.csv
P12,4,Gertrude,"My mother, Gertrude. I'm still in mope with my father's death.  But how can you marry Claudius!",95,438.7062,"Hamlet, it’s time you accepted that death comes even to kings. Love encompasses us all, and your father’s memory will ever be honored.",134,0.7089552238805971,B,H,Hamlet_fine_P12.csv
P12,5,Gertrude,Stop saying that meaningless words. I know that Claudius is the person who murdered my father. Didn't you know about that?,122,524.1101,"What wild accusations you hurl! My heart is open, Hamlet, and the dead cannot speak to slander the living.",106,1.150943396226415,B,H,Hamlet_fine_P12.csv
P12,6,Ophelia,"Ophelia, I know we are loving each other. However, I am sorry because of my madness. Some days, I turn in to red I know I am not stable person. But you know this is why? my father is murdered by Claudius.",204,665.968,"What are you telling? Your father is not alive? The news comes to my ear with the sharpness of swords. But Hamlet, did you do madness for his absence? Please remember where our love builds up. My heart is crushed, waiting for your return. Tell me—what can I offer to help heal you?",281,0.7259786476868327,B,H,Hamlet_fine_P12.csv
P12,7,Ophelia,"Nowadays I am seeing the king's ghost. Yes, the ghost of my father. He wants me to do a revenge. Can you just keep in secret what we've talked",142,806.3795,"I shall guard your secrets with silence as sharp as the grave. Yet, hear me: this hurt you carry is not yours alone. I fear for you, love—these are heavy whispers between us. Let me hold your hands steadier than any ghost’s gaze.",229,0.6200873362445415,B,H,Hamlet_fine_P12.csv
P12,8,ChoiceButton,"“The ghost may be the devil, using my grief to damn me. Should I believe it?”",77,856.0467, 비활성화,5,15.4,B,H,Hamlet_fine_P12.csv
P12,9,Claudius,"One day I saw that you are contemplating something. What was that? you made a wrong behave, a murder, right?",108,982.8093,"You are fevered with madness, Hamlet. Look within yourself before you wreck us all.",83,1.3012048192771084,B,H,Hamlet_fine_P12.csv
P12,10,Gertrude,"But mom, you may think that i am in a madness, but nowadays a ghost of my father is appearing and he said that Claudius killed him. I think the ghost is saying the right words. I saw Claudius is praying for god to confess and being forgiven by the god. What he did is murdering my father!",288,1123.585,"Mad and misled by shadows, my son. How can a soul spread bitterness so unwarranted? Trust in those who live, not spectres that fade with dawn.",142,2.028169014084507,B,H,Hamlet_fine_P12.csv
P12,11,Ophelia,"Ophelia, Claudius and Gertrude are just trying to escape their misbehaves. So I'm gonna get a mental disease, already you know well. SO you should understand  and trust me. I beg, please can you be the one who trust me.",219,1246.584,"I have trusted you before the dawn and after twilight closed its eye. My heart is a faded lily in a poisoned pond, yet it beats and offers you its petals still. I trust in you, Hamlet; let me stay loyal, even when the world crumbles around my feet.",248,0.8830645161290323,B,H,Hamlet_fine_P12.csv
P12,12,Ophelia,I love you and I want to be loyal to you. But just these days I know I'm gonna being a mad person. But I will gonna revenge. Claudius who murdered my father.,157,1352.813,"I’ll wear mourning for your hurt as willingly as any widow—O God, are you taking my love to the gallows? Be wise, Hamlet, when the devil is at your ear. If you must turn a storm, let me be your shelter in your own heart’s chambers, where we once danced in kinder tempests.",272,0.5772058823529411,B,H,Hamlet_fine_P12.csv
P12,13,Ophelia,you think that the ghost is the devil? I think we can not talk longer,69,1397.448,"A gulf opens between the sky and the ground. I see you on that side. Do not go, do not leave me alone in palace shadows. I beg you, let our hands remember warmth. You do not know the diamonds they are giving to you among the dirt.",230,0.3,B,H,Hamlet_fine_P12.csv
P12,14,Claudius,But Also I want to tell you something; There is a witness who saw this incident that you murdered my father.,108,1467.555,"Do not test me, Hamlet. You have outstayed your welcome with these baseless claims.",83,1.3012048192771084,B,H,Hamlet_fine_P12.csv
P12,15,Claudius,"Then lets go to the hell and heaven, then we can know the whole real thing. can you agree?",90,1519.579,"This is folly. You are unwell and should seek rest, not further delusions.",74,1.2162162162162162,B,H,Hamlet_fine_P12.csv
P12,16,ChoiceButton,"“If she sees the truth, she may turn from him—then there’s hope for us all.”",76,1552.681, 비활성화,5,15.2,B,H,Hamlet_fine_P12.csv
P14,1,Claudius,"Claudius, Don't you have anything to tell me?",45,358.4031,"Hamlet, what is the matter with you? Why should I have words that you do not?",77,0.5844155844155844,B,H,Hamlet_fine_p14.csv
P14,2,Claudius,"Last night, my father's spirit visited me.",42,383.91,"You speak in riddles; such things belong to dreams, not reality.",64,0.65625,B,H,Hamlet_fine_p14.csv
P14,3,Claudius,"No, it was real. I want you to tell me the truth.",49,411.6341,"You must be ill, Hamlet. You should rest; these fantasies will do you no good.",78,0.6282051282051282,B,H,Hamlet_fine_p14.csv
P14,4,Claudius,Are you sure?,13,425.0878,"I am, Hamlet. Trust your uncle, for I care for your well-being.",63,0.20634920634920634,B,H,Hamlet_fine_p14.csv
P14,5,Gertrude,"Mother, last night, my father visited me and told me that Claudius killed him.",78,476.0682,"Hamlet, you- you saw his ghost? How can this be?",48,1.625,B,H,Hamlet_fine_p14.csv
P14,6,Gertrude,I don't know. But I'm sure that it was real. He wants me to revenge on him.,75,507.56,"Revenge? You mustn’t obey every specter’s whim, Hamlet.",55,1.3636363636363635,B,H,Hamlet_fine_p14.csv
P14,7,Gertrude,Even you don't trust me. I will find my own way.,48,539.9021,"Do not take this on yourself, Hamlet—the grief may twist your judgment.",71,0.676056338028169,B,H,Hamlet_fine_p14.csv
P14,8,ChoiceButton,“O my prophetic soul! My uncle—guilty. Now is the time for vengeance.”,70,574.3781,Gertrude 비활성화,13,5.384615384615385,B,H,Hamlet_fine_p14.csv
P14,9,Ophelia,"How are you doing, Ophelia?",27,664.4356,"As well as one could hope, good Hamlet. What brings you here, or have you come merely to taunt me?",98,0.2755102040816326,B,H,Hamlet_fine_p14.csv
P14,10,Ophelia,"Well, I don't know. I had a weird dream. Don't mind.",52,733.7543,"Dreams are often telling, or so some say. If you have a thought to share, I’ll listen.",86,0.6046511627906976,B,H,Hamlet_fine_p14.csv
P14,11,Ophelia,"Then, okay. To be honest, I don't know you would believe, my father's spirit visited me last night.",99,773.6818,"Sweet Lord, please speak no more in riddles. Your speech now trembles me more than your wild songs and strange laughter in court.",129,0.7674418604651163,B,H,Hamlet_fine_p14.csv
P14,12,Ophelia,"Okay, just forget it. Have a good night.",40,810.2916,You jest. Stay a moment. Your words have turned a key in my heart.,66,0.6060606060606061,B,H,Hamlet_fine_p14.csv
P14,13,Claudius,"Okay, never mind. Well, why don't you watch a play? I heard that a good theather team will visit soon.",102,925.8728,That sounds diverting. I shall look forward to such a performance.,66,1.5454545454545454,B,H,Hamlet_fine_p14.csv
P14,14,Claudius,Right? Then let's see there soon.,33,951.9133,Indeed. I shall anticipate this entertainment—whatever it may be.,65,0.5076923076923077,B,H,Hamlet_fine_p14.csv
P14,15,Claudius,"True. Good night, uncle.",24,965.5668,"Good night, Hamlet. May sleep bring clearer thoughts.",53,0.4528301886792453,B,H,Hamlet_fine_p14.csv
P14,16,ChoiceButton,"“If she sees the truth, she may turn from him—then there’s hope for us all.”",76,1008.195, 비활성화,5,15.2,B,H,Hamlet_fine_p14.csv
P17,1,Claudius,why did you kill my father?,27,422.599,"Hamlet, your father’s death was an accident. To blame me is unjust.",67,0.40298507462686567,B,H,Hamlet_fine_p17.csv
P17,2,Claudius,Don't lie. you wanted the throne all along.,43,509.2245,"Hamlet, I may have benefitted, but I swear I didn’t kill him.",61,0.7049180327868853,B,H,Hamlet_fine_p17.csv
P17,3,Gertrude,how could you marry him so soon after my father's death?,56,594.7499,"Hamlet, the world does not pause for grief alone. My heart found solace in Claudius’ care, as did my safety.",108,0.5185185185185185,B,H,Hamlet_fine_p17.csv
P17,4,Gertrude,Did you even mourn my father for a single day?,46,659.7233,"I wore black for him, I wept for him—how could you think I recall him without ache?",83,0.5542168674698795,B,H,Hamlet_fine_p17.csv
P17,5,Gertrude,have you ever felt any guilt for what you've done?,50,705.3446,"Guilt for what, to whom? Gertrude has lost a husband but gained a king; what else should she feel but gratitude?",112,0.44642857142857145,B,H,Hamlet_fine_p17.csv
P17,6,Ophelia,did you ever truly love me?,27,763.334,"Once, my lord, you professed love to me without reservation. And I, in my trusting innocence, gave you mine in turn.",116,0.23275862068965517,B,H,Hamlet_fine_p17.csv
P17,7,Claudius,do you really think the crown you gained by killing my father will last?,72,907.7819,"Watch how you speak, Hamlet. Your wild accusations could sour even loyal minds against you.",91,0.7912087912087912,B,H,Hamlet_fine_p17.csv
P17,8,ChoiceButton,“O my prophetic soul! My uncle—guilty. Now is the time for vengeance.”,70,948.9528,Gertrude 비활성화,13,5.384615384615385,B,H,Hamlet_fine_p17.csv
P17,9,Claudius,I will take revenge on you.,27,989.5736,"Enough of this talk! Hamlet, you are ill.",41,0.6585365853658537,B,H,Hamlet_fine_p17.csv
P17,10,Ophelia,"do not love me, i cannot drag you into this",43,1078.299,"You speak in riddles—what distress holds you so firmly, that you would push away the love I still harbor for you?",113,0.3805309734513274,B,H,Hamlet_fine_p17.csv
P17,11,Claudius,why are you so worked up? feeling guilty?,41,1164.975,"Enough! I have no guilt. Hamlet, you bring madness upon yourself.",65,0.6307692307692307,B,H,Hamlet_fine_p17.csv
P17,12,Claudius,l will make sure you suffer as much as possible before you die,62,1273.969,Guards! Take him away. His words are poison.,44,1.4090909090909092,B,H,Hamlet_fine_p17.csv
P17,13,Claudius,"lf you tell the truth now, I will forgive you.",46,1378.763,"You are a danger to yourself and all around you, Hamlet. Enough.",64,0.71875,B,H,Hamlet_fine_p17.csv
P17,14,Claudius,"Ok, your time is coming to an end",33,1453.971,"You will regret these words, Hamlet. Take him to England.",57,0.5789473684210527,B,H,Hamlet_fine_p17.csv
P17,15,Ophelia,farewell Ophelia Forget me.,27,1544.38,"Forget you? As soon forget the air I breathe! A heart cannot easily unlearn love, no matter the distance or the pain.",117,0.23076923076923078,B,H,Hamlet_fine_p17.csv
P17,16,ChoiceButton,“The time is out of joint—now must I set it right. My father waits.”,68,1607.903, 비활성화,5,13.6,B,H,Hamlet_fine_p17.csv
P18,1,Claudius,Do you remember my father's last situation?,43,104.0333,"Yes, he fell ill suddenly and died, I recall it well.",53,0.8113207547169812,B,H,Hamlet_fine_P18.csv
P18,2,Gertrude,Do you remember my father's last situation?,43,112.9999,"Hamlet, please. My son, these troubled thoughts are heavy in your eyes tonight.",79,0.5443037974683544,B,H,Hamlet_fine_P18.csv
P18,3,Ophelia,I have an important job to do. Why don't you go into a convent?,63,228.3891,Where should I go? You've stung me to the quick. What more do you want?,71,0.8873239436619719,B,H,Hamlet_fine_P18.csv
P18,4,Claudius,Why did you leave in the middle of the play?,44,259.1956,I...it was too crowded and I needed air...,42,1.0476190476190477,B,H,Hamlet_fine_P18.csv
P18,5,Gertrude,Why do you avoid talking about your father's death?,51,281.2021,"I... it pains me to recall your father's passing, the questions it left unanswered.",83,0.6144578313253012,B,H,Hamlet_fine_P18.csv
P18,6,Gertrude,Who killed father?,18,291.0088,"Your words are wild; you speak riddles, not reason. How could I bear the thought?",81,0.2222222222222222,B,H,Hamlet_fine_P18.csv
P18,7,Ophelia,Look at Clodius. Marriage is crazy thing.,41,336.1652,"Marriage is a crazy thing with King or commoner, but what can a woman do?",73,0.5616438356164384,B,H,Hamlet_fine_P18.csv
