P18,"특히 오필리아의 착한 성격, 클로디어스의 교활한 성격이 잘 드러나는 말투였음.",각 캐릭터들이 특징에 맞는 스타일의 답변을 했음. 오필리아의 경우 결혼 제도를 비난하며 수녀원에 들어가라는 햄릿의 말에 화를 내지 않고 순종적이고 착한 면모를 보여줌.,클로디어스가 일관성 있게 햄릿 왕의 죽음에 대해 모르는 척을 함.,작품 배경에 어긋나는 말을 하지 않았음.,캐릭터와의 대화에 몰입을 할 수 있었음.,끝까지 햄릿왕의 죽음에 대해 모르는 척하는 클로디어스와 전남편의 죽음에 대해 외면하고자 하는 거트루드의 대화로 게임에 더 몰입하게 되었음.,
P17,헴릿이 분노할 때 느낀 공포나 두려움을 잘 표출했다고 생각함,오히려 차분한 점은 안 보였으며 거짓말을 하며 흥분하는 모습이 매우 적절하게 표현되었다고 생각,해당 이야기를 각색하고 상상하였을 때 캐릭터들의 행동이 매우 일관되고 예상과 비슷하게 행동하였다.,진행하면서 해당 캐릭터들은 배경과 일치하는 말이나 행동만 하였다.,매우 자연스러웠고 인간이라면 느낄 감정을 잘 표현하였다 특히 불안감,흥미가 떨어지기보단 더 심문해보고싶었으며 오히려 감정이 이입되어서 심한 단어가 나올뻔 하였다.,
P25,"외면상으로는 정치적이고 이성적인 인물인데, 대화할때 해당 캐릭터가 정치적인 인물인것같다고 느꼈다.","하는 말이 추상적이며, 같은 내용의 말을 반복한다. ",캐릭터의 입장은 항상 동일했기에 일관성이 없진 않았다.,자신의 죄를 숨기기 위한 태도를 보였기에 작품 배경 설정을 벗어나는 말은 아니다.,캐릭터가 하는 말이 너무 추상적이고 과장되어 대화가 자연스럽지 않다고 느꼈다.,"클로디어스와의 대화에서 클로디어스의 죄의 증거 발언이나 당황스러워하는 모습을 보고 클로디어스의 죄가 맞다는 것을 확신하고 싶었는데,  추궁하는 과정에서 클로어디스가 하는 말들이 추상적이라서 어떠한 증거발언을 얻을 수 없었다.",대화를 하면서 대화가 자연스럽지 않다는 느낌을 받아 불편했다.
P13,질문에 대답할때 캐릭터의 성격이나 말투가 느껴짐,오필리아가 조금 차분한 느낌이였다,캐릭터의 행동과 대답이 일관성 있었다,작품배경설정에 벗어나는 말이 없었다,캐릭터들의 대사가 일관성 있어서 어딘가 있을것 같다,다음 게임의 전개에 흥미가 떨어지지 않아서,캐릭터를 바꿀때 마다 질문이 위에 올라가 있어서 마지막으로 했던 질문을 보려면 스크롤 해야했다
P26,말투와 캐릭터가 잘 매치되었다,어색하지 않고 자연스러웠다,살짝 논리가 부족해보였다.,캐릭터랑 잘 맞는 대사를 했다.,"나름 현실, 사실적으로 잘 대답한 거 같다.",잘 몰입되도록 캐릭터와 대사가 매치가 되었던 거 같다.,
P12,질문에 대해 맞는 답변을 내놓아서,클로디우스는 약간 화내는 것 같기도 했고 오필리아나 거르투드는 좀 차분하게 진정시키며 반응해서 캐릭터들의 태도는 적정했던 것 같다,캐릭터들의 행동이 일관성이 없다고 느껴진 적은 없다,오필리아에게 햄릿왕(햄릿의 아버지)이 죽었다고 이야기 했는데 모르는 듯이 답해서 의아한 적이 있었다,충분히 헴릿이 갈등을 겪을 만 한 상황인 게 납득이 되어서,클로디우스는 인정하지 않고 오필리아와 어머니도 햄릿을 믿어주지 않으니 어딘가 모를 답답함이 느껴졌다.,결과를 선택할 때 두번째와 세번째를 선택하고 나오는 스토리도 궁금한 것 같다. 
P23,다 똑같은 말투를 사용한거 같습니다,햄릿의 어머니랑 애인에게 클라디우스가 아버지를 죽였다고 말했을때 놀라지 않고 비밀이 있다고 지속적으로 말을 돌렸습니다. 이야기가 진행되지 않는 느낌이였습니다.,일관성 있었습니다.,이미 클라디우스가 아버지를 죽인 사실을 어머니와 애인이 알고 있었음.,캐릭터들의 대화가 벽이랑 대화하는 느낌이라서,클라디우스의 비밀을 알려달라고 해도 계속 숨겨진 비밀이라는 대사만 하여서 전개가 되지 않았고 흥미 또한 떨어졌습니다.,
P24,많은 대화를 나눈 클라디우스와 오필리어의 성격이 내가 예상했던 것과 비슷했다.,클라디우스의 차분한 면모가 처음에는 어색했으나 햄릿이 미쳐있는 상황이라고 가정해보니 클라디우스의 차분함이 햄릿의 광기를 더 극대화시키는 것 같아 납득이 가는 수준이었다.,캐릭터들 모두 일관된 행동을 보여주었다.,캐릭터들이 설정에서 벗어나는 말을 하지 않았다.,햄릿이 클라디우스가 그의 아버지를 죽였다고 굳게 믿는 그 배경이 잘 느껴졌다.,전개에 대해 흥미가 떨어진 적이 없었다.,
P01,대화를 하면서 진짜 화가 났기 때문입니다,클라우디우스는 대화를 하면서 내가 하는 말에 발끈하고 상황에 맞게 화도 내면서 캐릭터의 성격에 적합한 행동과 말을 했기 때문입니다,캐릭터들은 전부 처음부터 끝까지 일관성 있게 행동했다,클라우디우스와 그의 자백을 이끌어내는 대화 중에서 캐릭터가 작품 배경과 적합한 답변을 했기 때문에,게임을 플레이하면서 오래전 있었던 사건들 속의 인물들과 타임머신을 타고 가서 대화하는 기분이 들었기 때문입니다.,대화를 이어나갈 수록 게임의 다음 전개 선택지에 대해 흥미가 생겼습니다.,햄릿이 제일 재밌었습니다!
P02,"클로디어스는 영악한 답변을 했고, 오필리어의 말투는 착했음",각 캐릭터에 맞는 답변을 했음,종종 클로디어스가 자신이 살인을 했다는 말을 함,다양한 질문을 했을 때 스토리를 벗어난 답변을 하지 않았음,답변의 말투와 내용이 현실성 있었음,클로디어스가 자신이 살인을 했음을 직접적으로 언급함,
P03,거트루트와 오필리어가 해당 캐릭터에 맞는 대사를 했다고 생각했다. (엄마는 널 사랑한다고 이야기하거나 오필리어가 난 너의 편이라고 이야기하는 등),3명의 인물 모두 원작과 동일한 사람이라고 생각이 들 만큼 자연스럽게 행동했다고 느껴졌다.,클로디어스가 햄릿에게 아빠를 어떻게 만났냐고 이야기한 뒤 미친 사람 취급하는 것을 보며 캐릭터 행동이 잘 만들어졌다고 느껴 몰입이 방해되지는 않았다.,"어머니나 삼촌, 연인 모두 캐릭터가 작품에 해당하는 이야기만 했다고 느꼈다","햄릿은 책을 읽으면서도 뭔가 진짜 예전에 있을 법하다고 느껴졌었는데, 게임으로 하니 더 와닿았다",원작과 다른 결론을 선택해서 그런지 흥미가 계속 생겼다. 흥미가 떨어질 틈이 없었다,
