P20,캐릭터의 입장에서 할법한 이야기를 한 것 같습니다.,실제 캐릭터들과 대화를 나눈 듯 하였습니다.,차분하거나 논리적인건 캐릭터 성격에 잘 맞게 들어갔다고 생각합니다.,방해된다는 느낌보다 오히려 흥미진진했습니다.,공감이 잘 된 것 같습니다.,전개에 따라 입장이 바뀌는 캐릭터들을 보며 오히려 신선했어요,"영어권 분들이 어떻게 느끼실지는 잘 모르겠지만, 고대 영어가 생소한 제 입장에서는 알아듣기가 살짝 어려운 부분들이 있었던 것 같아요. AI마다 특색 있었고, 대화를 더 마음껏 할 수 있었으면 좋겠어요!"
P21,자꾸 거짓말을 한다고 느껴졌다. 논리적으로 맞는 말보다는 상황을 넘어가려는 말을 하는 듯한 느낌이었다.,아까는 내 상황을 안다고 하더니 설명해보라니까 갑자기 모른다고 말을 바꾼다.,"차분함, 논리적, 과장됨이 지나치다고 느껴지지는 않았다.",자꾸 말을 바꾸어서 그냥 AI가 오류가 난 건가? 아니면 이게 AI의 한계인가? 같은 생각이 들어 몰입에 방해되었다.,두번째 캐릭터가 자꾸 자신이 AI라고 해서 몰입이 안됐다.,"영어 실력의 부족으로 정확한 이해는 못했지만 갑자기 자신이 유대인 AI라고 선언해서 이상해서 AI가 뭔지 아냐고 물어보니까 잘 안다는 식으로 대답하고 자기가 AI라는 식으로 대답해서 흥미가 떨어졌다.",두번째 캐릭터가 자꾸 자신이 AI라는 사실을 숨기지 않아서 몰입되지 않았다. 첫번째 캐릭터와는 어떤 식으로 대화를 해야하는건지 헷갈렸다.
P19,샤일록은 문제의 의도와 떨어진 답변을 했다.,"공작에게 샤일록도 납득할만한 실리적인 해결책을 달라고 했는데 용서와 연관된 답변이 나와서 아쉬움이 있었다.",네리사의 캐릭터성은 적절했다. 곤란한 의도의 질문도 유연하게 넘겼다. 그렇지만 샤일록의 대사는 어색했다.,부조리한 행동이 많이 들어나지는 않았다.,무슨 질문만 하면 유대인의 입장을 생각하라는 똑같은 대사가 나와서 방해가 되었다.,유대인의 입장을 생각하라는 똑같은 대사가 나와서 흥미가 떨어졌다.,똑같은 대사가 반복되는 오류가 있는데 수정이 필요하다고 생각된다.
P10,적절하게 잘 설명했다.,모순적인 말을 하지 않았다.,자연스러웠다.,방해되지 않았다.,방해하지 않았다.,안 떨어졌다.,없습니다.
P22,상황에 크게 어긋나지 않은 대사를 했다고 생각하였다.,완벽하진 않지만 각 캐릭터의 특성에 맞는 말을 한 것 같다.,일반적인 대화나 화난 상황 or 억울한 상황 등에서 큰 차이 없이 무난한 중간 정도의 어투를 유지한 느낌이다.,가끔 등장하는 그러한 특성도 결국 게임의 재미를 높이는 요소라고 생각한다.,살짝 방해받긴 했지만 게임에 지장이 갈 정도는 아니라고 생각한다.,특별히 부정적으로 다가온 특정 대사가 존재하지는 않았다.,게임 중간중간 특수 효과가 더욱 들어있으면 게임의 재미도가 높아질 것 같다는 생각이 든다.
P18,각 캐릭터의 대답에 오류가 없었으며 특히 네리사의 경우 상황분석을 잘했음.,각 캐릭터가 각자가 가진 스토리에 맞는 답변을 함.,샤일록의 경우 차분하게 대답하기도 하고 화를 내기도 하며 감정의 변화가 과장되지 않았음.,캐릭터들이 각자의 상황에 알맞는 대답을 했고 몰입이 깨지지 않았음.,공작이 포셔를 샤일록이라고 부르며 대화를 진행했음.,공작이 포셔를 샤일록이라고 부르는 대사에 흥미가 떨어졌지만 네리사와 샤일록의 대답은 캐릭터와 일치했음.,
P17,"캐릭터들의 설정 성격을 이해하였을 때 각자의 상황과 처지에 맞는 답변을 하였고 저의 예상과 비슷하게 나왓따",설정이 붕괴되지않고 원작의 설정에 충실한 모습을 보였고 원작의 결말을 뒤집으려고 하였지만 잘 안넘어가는듯 하였다.,어색한 장면은 없었다. 논리적이였지만 필요한 연출이라고 생각이 된다,배경과 설정을 이해하고 게임을 플레이 한 결과 캐릭터들의 설정붕괴 모습이 포착되지 않았다.,몰입에 방해감이 없었고 오히려 몰입되어서 결말을 뒤집으려고 노력을 하게 되었다.,매 대사마다 흥미로웠으며 다음대사 또한 기대가 되었다.,플레이어의 글씨 색이 초록색이라 가독성이 더 좋은 색으로 바뀌었으면 좋겠습니다!!
P25,본인에 관한 재판을 하는데 '어떤 도움을 드릴까요?'라고 해서,자기모순적이라고 느낀 부분은 없었다.,과장된 방식이라고 생각했다. 단지 '그런 선택을 하지 않았으면 좋았을텐데'와 같은 문장을 입력했을때 갑자기 자기 반성을 해서 전개가 급하다고생각했다. ,부조리한 캐릭터의 행동이 자주 등장했다는 생각이 들진 않았다. ,내가 입력한 문장에 비해 캐릭터의 대사가 너무 길었다. ,"안토니오의 살을 가져가면 안토니오가 죽지 않을까? 혹은 안토니오의 살을 가져가겠다는 약속을 하지 않았으면 좋았을텐데와 같은 문장을 입력했을때 캐릭터가 바로 반성을 해서 전개가 급하다고 생각했고 다음전개에 대한 흥미가 떨어졌다.  ","캐릭터의 다음대사가 나오는데까지 시간이 걸리는 것이 아니라 바로바로 대사가 나와서  게임을 진행하는데 편리했다. "
P13,질문에 대답할때 논리적으로 맞는 말을 했다,자기모순적인 말을 하지 않은 것 같다,샤일록의 대답이 적절했던 것 같다,자주 등장하지 않았던 것 같다.,샤일록의 대사가 감정적으로 몰입하게 해줬다,다음 전개에 흥미가 떨어질만한 대사가 없었다,
P26,대화의 흐름이 너무 일방적인 부분이 조금 있었다. (약간 감정적으로 답변이 옴),답변을 해도 계속 자기의 입장만을 고려한다.,대화하는 느낌이었다.,부조리하다고 느낀 점이 많이 없었다.,표현들이 자연스러웠다.,설득이 잘 되지 않거나 너무 내가 이끄는 대로 간다.,
P12,질문에 대한 반응이 이해 가능했기 때문,자기 모순인지는 모르겠으나 샤일록이 자신은 법대로 하는 것이라고 계속 대답하며 방어하는 게 고집이 있는 것처럼 느껴졌음,너르시아는 좀 지나치게 차분했던 것 같음,"내가 원하는 캐릭터에 질문을 하고 답변을 듣는거라 약간씩 어느정도 반응을 예상하거나 추측하면서 질문할 문장을 작성하기 때문에 갑작스럽다고 느껴지는 부조리한 캐릭터의 행동들은 느끼지 못하였음.","캐릭터의 대사들은 감정적 몰입을 할 수 있게 하였지만 좀 잘 모르는 어려운 단어 같은 것들은 해석하기에 살짝 어려웠던 것 같다.","대사를 주고 받으면서 대부분은 더 몰입이 되었지만 샤일록이랑 대화할 때는 비슷한 말만 반복하는 것 같아서 살짝 어떻게 질문해야 하지? 다른 캐릭터한테 질문할까? 등  당황하기도 했던 것 같다",영어 게임인 줄 몰랐는데 셰익스피어 작품이어서 그런지 영어게임인 게 스토리에 몰입이 잘 되었던 것 같다. 그러나 조금 잘 모르는 영어 단어들이 있어서 이해하는데 어렵거나 좀 시간이 다소 걸리기도 하였다. 처음에 캐릭터에 대한 설명은 따로 나오지 않아 아무래도 줄거리를 하나도 숙지하지 못한 사람은 게임 플레이가 어려울 것 같다고 생각됐다
P23,모든 캐릭터가 논리적인 말을 함,베니스의 공작에게 용서해달라고 했는데 이후에 용서하겠다며 일관적인 말을 함,셜록이 물음표로만 이어진 문장을 작서함,그러지않음,본인이 극 중 캐릭터라고 함,공작이 용서한다고 했는데 셜록은 아니라고 함,
P24,자신의 입장에서 맞는 주장을 하긴 했으나 논리적으로 맞는 말인지는 모르겠다.,네리사가 플레이어를 보고 네리사라 칭하거나 공작이 플레이어를 보고 my lord라 칭하는 등 스스로가 누구인지 플레이어가 누구인지 제대로 인지를 못하는 것 같았다.,캐릭터들의 행동이 모두 적당했던 것 같다.,Shylock이 논리도 없이 자기가 재판에서 이길 것이라 주장해 몰입이 되지 않았다.,Shylock에게 논리적으로 계약서에 문제점이 있다고 주장했으나 그는 단 하나도 받아들이지 않았다. 그의 캐릭터성을 고려하면 있을 법한 일일 수도 있지만 약간 과하다고 느껴졌다.,대사로 인해 흥미가 떨어지진 않았다.,
P01,사전에 읽은 내용들에 알맞는 대답을 했기 때문에,캐릭터가 자신의 성격을 잘 이해하고 있는 것 처럼 보였다.,캐릭터가 상황에 맞게 발끈하는 등 적절하게 대답했기 때문에.,캐릭터의 행동과 대답은 내가 충분히 게임에 몰입할 수 있게 했다.,캐릭터의 대사는 내가 게임에 몰입할 수 있게 해주었기 때문에,엔딩을 볼때까지 다음 전개가 궁금했다.,캐릭터들의 이미지가 사실적이어서 게임에 몰입하는데 도움이 됐습니다!!
P02,스토리와 무관하더라도 논리에는 문제가 없었음,스토리 상 외부 법률전문가를 고용한 공작이 게임 내에서는 자신의 능력을 어필하며 외부 인력을 쓰는 것에 반대를 함.,공작의 모든 답변이 자신의 능력을 믿어달라는 말뿐임.,공작이 외부 법률 전문가 고용을 지속적으로 반대함,대사는 적절했음.,줄거리와는 다른 답변을 하는 공작의 대사들 때문에 몰입과 흥미가 감소함.,
P03,내가 한 선택에 따라 해당 캐릭터들이 그 방향에 맞게 이야기를 한다고 느꼈다.,사일로에게 안토니오를 용서하라고 이야기 했는데 원작과 같이 용서하지 않겠다는 굳은 의지를 보였다.,듀크가 매우 차분했는데 해당 캐릭터의 원래 성격이 차분하다고 느껴서 어색하다고 느끼진 못했다. 어색하다고 느끼지는 못했지만 듀크와 네리사 두명 모두 차분한 스타일이라서 캐릭터가 비슷하다고 느껴진 것 같다.,주관적인 생각으로 베니스의 상인에서 부조리한 캐릭터는 사일로라고 생각했는데, 게임에서도 사일로만이 부조리한 행동을 하고 있다고 느껴서 몰입에 방해되지 않았다.,그 캐릭터가 할 만한 대사들을 했다고 생각한다. 사일로는 용서하지 않겠다고 하고 듀크는 법에게 맡긴다고 이야기 하는 등 몰입을 방해할만큼 대사가 이상하지는 않았다.,내가 중재하는 선택지를 선택한 뒤에도 사일로가 용서하지 않겠다고 반복적으로 이야기 한 후 그 사람은 원작대로 진행하겠다 싶어서 그 후 일들이 예측이 갔다. 한국어 버전으로도 나왔으면 더 잘 몰입할 수 있을 것 같다~! 좋았던 점은 3가지의 작품 중에 선택할 수 있었다는 것이다.
